ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1972,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1973,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1974,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1974,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1974,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1974,6,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1974,47,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1974,4,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1974,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1974,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1975,52,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1975,52,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1975,52,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1975,43,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1975,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1975,6,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1975,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1975,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1976,49,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1976,49,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1976,49,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1976,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1976,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1976,32,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1976,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1976,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1976,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1976,11,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1976,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1976,4,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1976,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1977,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1977,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1977,58,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1977,41,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1977,17,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1977,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1978,102,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1978,102,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1978,102,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1978,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1978,3,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1978,63,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1978,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1978,7,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1978,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1978,20,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1978,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1978,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1978,7,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1979,105,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1979,105,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1979,105,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1979,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1979,4,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1979,61,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1979,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1979,12,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1979,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1979,22,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1979,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1979,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1979,6,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1980,206,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1980,206,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1980,206,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1980,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1980,17,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1980,149,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1980,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1980,4,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1980,3,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1980,27,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1980,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1980,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1980,6,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1981,186,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1981,186,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1981,186,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1981,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1981,7,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1981,125,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1981,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1981,13,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1981,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1981,28,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1981,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1981,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1981,11,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1982,88,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1982,88,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1982,88,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1982,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1982,10,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1982,45,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1982,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1982,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1982,1,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1982,25,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1982,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1982,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1982,4,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1983,98,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1983,98,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1983,98,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1983,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1983,16,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 3. Manufacturing,1983,33,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",1983,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 5. Construction,1983,8,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1983,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1983,35,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1983,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",1983,0,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 0. Activities not Adequately Defined,1983,2,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1984,114,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1984,114,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1984,114,,,,
"Korea, Republic of",Number of strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1984,0,,,,
